cartodb_id,the_geom,field_1,uid,feature_name,address,city,state,side,category,group_class,secondary_class_for_internal_use,year_dedicated,school_percent_black,source,notes,latitude,longitude
7,0101000020E6100000D34F38BB355855C0C23AE9D89C524040,,4,Lee County,,Opelika,AL,South,County,County,,1866,,"https://en.wikipedia.org/wiki/Lee_County,_Alabama",,32.6454116,-85.3782795
8,0101000020E6100000A8328CBBC16D55C010255AF278124040,,5,Bullock County,,Union Springs,AL,South,County,County,,1866,,"https://en.wikipedia.org/wiki/Bullock_County,_Alabama",,32.144316,-85.7149495
9,0101000020E6100000ED7E15E0BB9855C096BA1A8F082C4040,,6,Alabama Coat of Arms,,Montgomery,AL,South,Flag,Flag,,1923,,https://en.wikipedia.org/wiki/Coat_of_arms_of_Alabama,"Besides being used by itself, the coat of arms is used on at least 7 governmental seals of the state, as well as the flag of the governor of Alabama.",32.3440112,-86.386467
10,0101000020E6100000707BDD7D699255C072A609DB4F2F4040,o,,Beauregard Street,,Montgomery,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.3696245,-86.2876887
11,0101000020E61000005B3E37D92B0656C09F4D582C8F3F3E40,o,,Beauregard Street,,Dauphin Island,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.2482784,-88.0964263
12,0101000020E61000000F046D17BF9755C00341800C1D3F4040,o,,Robert E. Lee Drive,,Millbrook,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.493074,-86.3710383
13,0101000020E61000004A383EA429A455C0FC389A232BC54040,o,,Robert E. Lee Street,,Leeds,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,33.540379,-86.5650416
14,0101000020E610000025F1A8E793A455C0397AA12534CD4040,o,,Robert Lee Street,,Trussville,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,33.6031539,-86.5715274
15,0101000020E6100000E8AB9AD65CD555C07196ED9E97833F40,o,,Robert Lee Street,,Monroeville,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,31.5140323,-87.3337914
16,0101000020E6100000E8AB9AD65CD555C07196ED9E97833F40,o,,Confederate Circle,,Monroeville,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,31.5140323,-87.3337914
17,0101000020E6100000E8AB9AD65CD555C07196ED9E97833F40,o,,Stonewall Lane,,Monroeville,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,31.5140323,-87.3337914
18,0101000020E61000004229102CFD0456C0C28AAE66F8A83E40,o,,Robert E. Lee Street,,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.6600403,-88.0779524
19,0101000020E6100000F52A8DF3120556C03E912749D7A83E40,o,,Johnston Street,,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.659535,-88.0792817
20,0101000020E6100000B773AB31320556C0DB2F44F3A5A83E40,o,,Van Dorn Street,,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.6587822,-88.0811886
21,0101000020E61000002E59709A190556C03C376DC669A83E40,o,,Forrest Street,,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.657864,-88.0796877
22,0101000020E61000004BD3FB21110556C06EDA8CD310A93E40,o,,Polk Street,,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.660413,-88.0791707
23,0101000020E610000021A00C9F3E0356C08016A64AEFB23E40,o,,Beauregard Street,,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.6989638,-88.0506971
24,0101000020E6100000570F4EFAB1B855C0BA394B7FE5DD4040,o,,Robert E. Lee Drive,,Gardendale,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,33.7335662,-86.8858629
25,0101000020E61000005A0AED412DFC55C0867B760A032A4140,o,,Robert E. Lee Drive,,Hodges,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,34.3282178,-87.9402623
26,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Jefferson Davis Drive,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
27,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Lee Street,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
28,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Hood Street,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
29,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Longstreet Drive,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
30,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Forrest Drive,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
31,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Stonewall Street,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
32,0101000020E61000003EF83F76CD0D56C0A5D189A999484040,o,,Morgan Drive,,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.5671894,-88.2156654
33,0101000020E6100000D943FB58C1F855C0747973B856873E40,o,,Jeff Davis Street,,Fair Hope,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,30.528667,-87.886801
34,0101000020E6100000FECA9420ED6A55C069DD06B5DF6C3F40,o,,Stonewall Circle,,Ozark,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,31.4252885,-85.6707231
35,0101000020E610000098022DB8FA6A55C009DD2571566C3F40,o,,Jeb Stewart Place,,Ozark,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,31.423194,-85.6715527
36,0101000020E6100000E708CF3A99C455C083EF479BF49F4040,,1,Confederate Parkway,,McCalla,AL,South,Road / Street / Highway,Highway / Roadway,,Unknown,,http://www.tannehill.org/,,33.2496523,-87.0718524
37,0101000020E6100000B87DEAB35E9455C00BDB0539DE2E4040,,2,Jefferson Davis Avenue,,Montgomery,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,32.3661567,-86.3182802
38,0101000020E6100000D310B0B1260256C08BE83290C2563F40,,1,Jefferson Davis Highway,,,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,31.3389063,-88.0336117
39,0101000020E6100000C14A4FA2EFC955C02AEBED85B8524140,,2,Lee Highway,,,AL,South,Road / Street / Highway,Highway / Roadway,,,,,,34.6462562,-87.1552511
40,0101000020E61000004BD4C1B0329355C05A000979F32E4040,,3,Robert E. Lee Day,,Montgomery,AL,South,Holiday,Holiday / Observances,,Unknown,,https://personnel.alabama.gov/Downloads/StateHolidays.pdf,Occurs in conjunction with MLK day. State Observed.,32.3668052,-86.2999689
41,0101000020E61000004BD4C1B0329355C05A000979F32E4040,,4,Jefferson Davis' Birthday,,Montgomery,AL,South,Holiday,Holiday / Observances,,,,https://personnel.alabama.gov/Downloads/StateHolidays.pdf,Occurs on or around June 6. State Observed,32.3668052,-86.2999689
42,0101000020E61000004BD4C1B0329355C05A000979F32E4040,,5,Confederate Memorial Day,,Montgomery,AL,South,Holiday,Holiday / Observances,,,,https://personnel.alabama.gov/Downloads/StateHolidays.pdf,Occurs the last Monday in April. State Observed,32.3668052,-86.2999689
43,0101000020E6100000F9AEF7D1DFF555C0F9415DA450414040,,6,Fort Rucker,,Fort Rucker,AL,South,Military Base,Military Base,,1942,,https://en.wikipedia.org/wiki/Fort_Rucker,,32.5102735,-87.8417859
44,0101000020E6100000EC09B721EB7455C083C4D1B073D44040,,7,Major John Pelham Monument,Quintard Ave.,Anniston,AL,South,Monument,Monument,,1905,,http://www.myfoxal.com/story/29539478/anniston-council-to-vote-next-week-on-confederate-battle-flag-ban,,33.6597806,-85.8268513
45,0101000020E6100000220505943C7354C0AE134D56FB343F40,,8,Confederate Soldiers & Sailors Monument,Linn Park,Birmingham,AL,South,Monument,Monument,,1905,,http://www.al.com/news/birmingham/index.ssf/2015/07/a_close-up_look_at_birminghams.html,,31.2069601,-81.8005724
46,0101000020E6100000183D5C17A36255C067A08DB7F01D4140,,9,General N.B. Forrest Captured Col. A.D. Straight monument,Al-9,Cedar Bluff,AL,South,Monument,Monument,,1939,,http://www.lat34north.com/historicmarkersal/MarkerDetail.cfm?KeyID=10-03&MarkerTitle=Gen.%20N.B.%20Forrest%20Captured%20Col.%20A.D.%20Streight%20Monument,"This marks the place where Gen. N.B. Forrest with 322 men captured Col. A.D. Streight with 466 men May 3, 1863. Erected by Forney District Ala. United Daughters of The Confederacy June 3, 1939",34.2339086,-85.5412043
47,0101000020E6100000C713419C87F555C04E5D54E641424040,,10,Confederate Monument,North Main And West Capitol,Demopolis,AL,South,Monument,Monument,,1910,,http://www.waymarking.com/waymarks/WM45EE_Confederate_Memorial_Demopolis_AL,,32.5176361,-87.836402
48,0101000020E6100000F9AEF7D1DFF555C0F9415DA450414040,,11,Breastworks Confederate Memorial,West Pettus St.,Demopolis,AL,South,Monument,Monument,,1941,,http://www.waymarking.com/waymarks/WM7NM1_Demopolis_Breastworks_Confederate_Memorial_Demopolis_Alabama,,32.5102735,-87.8417859
49,0101000020E6100000B4A041542B4B55C0246AFD88BAC83F40,,12,Confederate Monument,Broad Ave And Eufaula Ave.,Eufaula,AL,South,Monument,Monument,,1904,,http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_329826&hlterm=confederate,,31.7840963,-85.1745196
50,0101000020E6100000FEB1B5630F6E55C012CC8756DD384140,,13,Confederate Monument,Union Park,Fort Payne,AL,South,Monument,Monument,,1913,,http://www.discoverlookoutmountain.com/history-confederate-monument.shtml,,34.4442547,-85.7196893
179,0101000020E61000001370BEC7CF8754C0F90F8EFE3C483E40,,11,Baker County,,Macclenny,FL,South,County,County,,1861,,"https://en.wikipedia.org/wiki/Baker_County,_Florida",,30.2821807,-82.1220569
51,0101000020E61000000A794EC46C8055C04CC11A67D3014140,,14,Emma Sansom and Nathan Bedford Forrest Monument,1St St. And Broad,Gadsden,AL,South,Monument,Monument,,1907,,http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_320332&hlterm=confederate,,34.014264,-86.0066386
52,0101000020E6100000FC0BF3D4D97B55C090A4FF4014084140,,15,Turkey Town Monument,Us-411,Gadsden,AL,South,Monument,Monument,,Unknown,,"http://www.lat34north.com/historicmarkersal/MarkerDetail.cfm?KeyID=28-27&MarkerTitle=Turkey%20Town%20Monument; http://www.americanmemorialsdirectory.com/alabama.html",,34.0631181,-85.9351704
53,0101000020E610000019236D3E89A755C068DA6A7B60D43F40,,16,Butler County Confederate Memorial,South Park Street & West Commerce Street,Greenville,AL,South,Monument,Monument,,1903,,http://www.greenville-alabama.com/Sites/Greenville/Documents/Chamber/____REVISED%20Tourist%20Brochure.pdf,,31.8295972,-86.6177517
54,0101000020E6100000F66283E04CFF55C0CA4D79196A0D4140,,17,Confederate Veterans Bicentennial Memorial,"Military Street, Marion County Courthouse",Hamilton,AL,South,Monument,Monument,,1977,,http://www.hmdb.org/marker.asp?marker=80883,,34.1048004,-87.9890672
